App No: 19,The Manager | Mundabullangana | Via Pt Headland W.A.,Mundabullangana Station W.A.,Lic No: 16,All Types,1.9.23,1.9.34 | Lapsed | LG 132,-20.509346,118.060519,WA,Mundabullangana Station W.A.,AN0019,LG 132,P005,1923,1923-1-1
App No: 20,De Grey River Pastoral Co Ltd | J. L. Stewart Mgr | W.A.,De Grey Station W.A.,Lic No: 17,All types | (Large multi-engined types in favourable wind conditions only) | Class 'E'(DW) 3/11/38 | Non provisional 8.2.48,1.7.23,LG 133 | See Page 135,-20.178174,119.194669,WA,De Grey Station W.A.,AN0020,LG 133,P005,1923,1923-1-1
App No: 21,Ernest A. Hall | Wooramel Station | Via Carnarvan W.A.,Wooramel Homestead W.A.,Lic No: 18,All Types | Gov Emerg landing Ground,1.7.30,20.6.31 | Cancelled from 18/3/31 | LG 127,-25.755151,114.281745,WA,Wooramel Homestead W.A.,AN0021,LG 127,P006,1930,1930-1-1
App No: 22,G.G. Gooch | Wandagee | Via Carnovan W.A.,Wandagee Homestead W.A.,Lic No: 21,All Types | (From 1/11/32 - except multi-engined),1.10.26,24.12.35 | Cancelled | LG 135,-23.7643,114.5547,WA,Wandagee Homestead W.A.,AN0022,LG 135,P006,1926,1926-1-1
App No: 23,B. H. Sharpe & Co | Mardie | Via Onslow W.A.,Mardie Station W.A.,Lic No: 19,All types | (From 12/2/32 - except multi-engined) | Class 'C' F (DW) Provisional 30-6-48,4.2.26,31.12.44 | Now Class 1 | E.L.G/No.131 | see 586/153,-21.188639,115.980292,WA,Mardie Station W.A.,AN0023,-,P006,1926,1926-1-1
App No: 24,Robe River Pastoral Coy | (H.P. Patterson Mgr) | Yarraloola Stn | Onslow W.A.,Yarraloola Homestead W.A. | Onslow,Lic No: 20,All single-engined and light multi-engined aircraft,1.6.26,Lapsed 30/5/36 | LG 130,-21.569447,115.879041,WA,Yarraloola Homestead W.A.,AN0024,LG 130,P006,1926,1926-1-1
App No: 25,New England Airways Ltd Sydney | Airlines of Australia Ltd | 14 Martin Place | Sydney | K.R.M. Farmer | 8 Myamyn Street | Malvern | Vic,Coode Island Melbourne Vic,Lic No: 22,All single-engined and light multi-engined aircraft | Class 'C',1.10.27,29.9.1943 | LG 155,-37.814342,144.909359,VIC,Coode Island Melbourne Vic,AN0025,LG 155,P007,1927,1927-1-1
App No: 26,D. J. Hearman | Middalya | Via Carnovan W.A.,Middalya W.A.,Lic No:,,,,-23.906549,114.76476,WA,Middalya W.A.,AN0026,-,P007,,
App No: 27,H. Campbell | Boologooro | Via Carnavon | W.A.,Boologooro W.A.,Lic No: 23,All Types | (From 1.11.32 - except multi-engined),1.5.28,Gov Emergency Landing Ground | 14.12.34 | Cancelled | Now E.L.G. | LG 159,-24.340299,114.015142,WA,Boologooro W.A.,AN0027,LG 159,P007,1928,1928-1-1
App No: 28,Goulburn Aero Club | (B. Bradley Hon Secy) | Goulburn | New South Wales | 20.6.32 | Town Clerk - City of Goulburn | P.O. Box 16A - Goulburn,Goulburn N.S.W.,Lic No: 24,All Types | out 7/9/50,1.10.28,Cancelled | Now Govt Aerodrome | LG 170,-34.44,149.96,NSW,Goulburn N.S.W.,AN0028,LG 170,P007,1928,1928-1-1
App No: 29,May & Davis | Mt Gambier | South Australia,Mount Gambier S.A.,Lic No: 25,All Types,1.3.29,9.9.36 | Govt Aerodrome | LG 187 | New site licenced | see No.245,-38,140.71,SA,Mount Gambier S.A.,AN0029,LG 187,P008,1929,1929-1-1
App No: 30,A.V.Little | Box 6 | Benalla | Victoria,Benalla Vic,Lic No: 26,All Types except large multi-engined machines,1.2.29,Govt Drome | LG 540 | LG 178 | 1938 Cancelled,-36.39,145.42,VIC,Benalla Vic,AN0030,LG 178,P008,1929,1929-1-1
App No: 31,Dalby Town Council & Wambo Shire Council | Dalby & Wambo Aerodrome Board | Dalby | Queensland,Dalby Q'ld,Lic No: LG 226,All types. | Class 'B' in dry weather as from 24/3/44 | See License 580,1.12.39 | See License 580,29.6.1944 | LG 226 | Cancelled,-27.19,151.4,QLD,Dalby Q'ld,AN0031,LG 226,P008,1939,1939-1-1
App No: 32,Bendigo Aero Club | (S. Murray Hon Secy) | Bendigo | Victoria,Myers Flat Vic | near Bendigo,Lic No: 27,All Types,15.5.29,Cancelled | LG 191,-36.73,144.26,VIC,Myers Flat Vic,AN0032,LG 191,P008,1929,1929-1-1
App No: 33,W.S. Macartney | Bulgandra | Via Albury | New South Wales,Bulgandra Station N.S.W. | Via Albury,Lic No:,,,,-35.6167,146.6167,NSW,Bulgandra Station N.S.W.,AN0033,-,P009,,
App No: 34,Narromine Municipal Council | Narromine | New South Wales,Narromine N.S.W.,Lic No: 28,All Types,1.11.29 | Govt Drome,Gov A/D | See also 1037 | RAAF A/Fd,-32.06,148.26,NSW,Narromine N.S.W.,AN0034,-,P009,1929,1929-1-1
App No: 35,District Council of Waikerie | South Australia,Waikerie S.A.,Lic No: 34,All Types,1.11.29,Withdrawn 17-1-36,-34.42,140.04,SA,Waikerie S.A.,AN0035,-,P009,1929,1929-1-1
App No: 36,Crookwell and District Aero Club,Crookwell N.S.W.,Lic No: 29,D.H. Moth & similar types,1.7.29,Cancelled 11/7/38 | LG 190,-34.08,149.15,NSW,Crookwell N.S.W.,AN0036,LG 190,P009,1929,1929-1-1
App No: 37,P.E. Sutherland | Royal Chambers | 3 Castlereagh St | Sydney,Werrington St Marys N.S.W.,Lic No:,,,,-33.757678,150.754033,NSW,Werrington St Marys N.S.W.,AN0037,-,P010,,
App No: 38,R. Bedford | Kyancutta | South Australia,Kyancutta S.A.,Lic No: 31,All Types | Now Classified Gp 1 7-2-48,18.9.29,5.10.39 | Taken over as E.L.G. 1.6.40 | Abandoned as ELG and reclassified | LG 222,-33.13,135.56,SA,Kyancutta S.A.,AN0038,LG 222,P010,1929,1929-1-1
App No: 39,G.J. Payne | Box 18 | Cowell | South Australia,Cowell S.A.,Lic No: 30,All Types,1.9.29,Cancelled | See Licence No.280 | LG 194,-33.68,136.93,SA,Cowell S.A.,AN0039,LG 194,P010,1929,1929-1-1
App No: 40,Ballarat Sub-Section | Aust Aero Club | (J. Hollaway Hon Secy) | 409 Lydeard St | 1/7/62 | Shire of Ballarat | Shire Offices | Wendouree | Via Ballarat | Victoria,Ballarat Vic | 4 Miles N.W. of Ballarat | LAT 37º - 31'S | LONG 143º - 47½'E | ALT 1430',Lic No: 43,D.H. Moth etc | All types except large multi | Single and light multi (24/1/39) | Class 'F'(FW) 1-7-1962 | Class 'F' 1-3-1967,1.2.30 | 1-3-1967,31.1.41 | Ex Govt Drome | Cancelled at request of Dept of Air | LG 562,-37.516677,143.784189,VIC,Ballarat Vic,AN0040,LG 562,P010,1930,1930-1-1
App No: 41,Bundaberg City Council | Queensland,Bundaberg Q'ld,Lic No: Not Approved,See new application 109 for new area | See 109 page 28,,,-24.84,152.02,QLD,Bundaberg Q'ld,AN0041,-,P011,,
App No: 42,Mr L.G. Rowett | Marrabel | South Australia,Marrabel S.A.,Lic No: 81,Restricted types | Class 'C',25.6.31,License lapsed,-33.93,138.94,SA,Marrabel S.A.,AN0042,-,P011,1931,1931-1-1
App No: 43,H.C. Ithershagen | 295 Onslow Rd | West Subiaco | Western Australia,West Subiaco W.A.,Lic No: 32,Restricted Types | D.H. Moth etc,18.9.29,6.10.1938 | Lapsed | LG 195,-31.95,115.81,WA,West Subiaco W.A.,AN0043,LG 195,P011,1929,1929-1-1
App No: 44,District Council | Kimba | South Australia,Kimba S.A.,Lic No: 37,All types | Class 'B' | Below 'G' Dry Weather Provisional 2-4-48 | Now Classified Group II (DW) 10-5-50 | A.L.G. 30-5-52,1.11.29,LG 217 | LG 219,-33.18,136.62,SA,Kimba S.A.,AN0044,LG 219,P011,1929,1929-1-1
App No: 45,J.S. Horner | Maitland | South Australia,Maitland S.A.,Lic No: 40,All Types,1.1.30,30.6.30 | Expired ground not available,-34.32,137.49,SA,Maitland S.A.,AN0045,-,P012,1930,1930-1-1
App No: 46,H.E. Glaybrook | Minlaton | South Australia,Minlaton S.A.,Lic No: 41,All Types,15.1.30,14.7.30 | Expired ground not available,-34.73,137.48,SA,Minlaton S.A.,AN0046,-,P012,1930,1930-1-1
App No: 47,Jane O'Dea (Mrs) | Yorketown | South Australia,Yorketown S.A.,Lic No: Not issued,,,Not issued,-35.1,137.65,SA,Yorketown S.A.,AN0047,-,P012,,
App No: 48,District Council of Karryaka | Quorn | South Australia,Quorn S.A.,Lic No: 36,All types | Class 'C',1.11.29,Cancelled | LG 193,-32.45,138.2,SA,Quorn S.A.,AN0048,LG 193,P012,1929,1929-1-1
App No: 49,Essendon Citizen's Military Assoc | Town Hall | Moonee Ponds | Victoria,Moonee Valley Racecourse Vic,Lic No: 33,Restricted Type,23.11.29,Issued for one day,-37.7657,144.9326,VIC,Moonee Valley Racecourse Vic,AN0049,-,P013,1929,1929-1-1
App No: 50,The Town Clerk | Corporation of Wallaroo | Wallaroo | South Australia,Wallaroo S.A.,Lic No: 35,All types | Class 'B',1.11.29,Suspended | LG 192,-33.9,137.63,SA,Wallaroo S.A.,AN0050,LG 192,P013,1929,1929-1-1
App No: 51,W.A. Leslie & Taylor | Karratha | Roebourne | Western Australia,Karratha Station W.A. | W.S.W of Roebourne,Lic No: 38,All Types,23.7.30,Lapsed | LG 239,-20.73699,116.84514,WA,Karratha Station W.A.,AN0051,LG 239,P013,1930,1930-1-1
App No: 52,A.E. Dunoon | Swan Hill | Government Aerodrome,Swan Hill Vic,Lic No: 42,All Types,18.1.30,Cancelled | Govt Drome | LG 221,-35.42,143.59,VIC,Swan Hill Vic,AN0052,LG 221,P013,1930,1930-1-1
App No: 53,A. E. Waters | Gen Mgr | Walsh Is Dockyard & Engineering Works | Newcastle N.S.W.,Walsh Island N.S.W.,Lic No:,,,,-32.916522,151.783162,NSW,Walsh Island N.S.W.,AN0053,-,P014,,
App No: 54,District Council of Gobdogla | Barmera | South Australia,Barmera S.A.,Lic No: 48,All types | Class 'C',21.5.30,10.6.41 | LG 225,-34.25,140.47,SA,Barmera S.A.,AN0054,LG 225,P014,1930,1930-1-1
App No: 55,Secy Shire Council | Omeo Vic | 4.3.30,Omeo Vic,Lic No:,,,,-37.02,147.47,VIC,Omeo Vic,AN0055,-,P014,,
App No: 56,Broken Hill Pty Co Ltd | 422 Lit Collins St | Melbourne C1 | 4.3.30,Whyalla S.A.,Lic No: 44,All types. | Class 'AT' provisional 1.4.48 | Class 'E' (DW) 1-4-49 | For use by aircraft owned by Broken Hill Pty Ltd only 1-4-50,6.3.30,LG 220,-32.94,137.58,SA,Whyalla S.A.,AN0056,LG 220,P014,1930,1930-1-1
App No: 57,Mathews Aviation Pty Ltd | G.P.O. Box 1860 Q | Melbourne C1 | 7.3.30,Bridport Tas,Lic No: Not proceeded with,,,LG 483,-41,147.39,TAS,Bridport Tas,AN0057,LG 483,P015,,
App No: 58,Broken Hill Pty Co Ltd | 422 Little Collins St | Melbourne C1 | 18.3.30,Iron Knob S.A.,Lic No: 45,All types | Class 'B' | Provisional Below 'G7' 2.3.48 | Non Classified Group 2 2.3.49 | A.L.G 19-9-52,11/3/1930,LG 224 | 220/129/0,-32.75,137.17,SA,Iron Knob S.A.,AN0058,LG 224,P015,1930,1930-1-1
App No: 59,The Town Clerk | Parkes Municipal Council - Parkes | 28.3.30,Parkes N.S.W.,Lic No: 46,All types. | Class 'B' Suspended 7-10-37 | Government a/d,1/4/1930,LG 4 | A.N.R 1937,-32.93,148.26,NSW,Parkes N.S.W.,AN0059,LG 4  ,P015,1930,1930-1-1
App No: 60,Lionel P. Learmonth | McIntyre St | Hamilton | 1.4.30,Hamilton Vic,Lic No:,,,,-37.88,141.96,VIC,Hamilton Vic,AN0060,-,P015,,
App No: 61,Mr E.J. Barclay | 'Mingawalla' | Beeac | 2.4.30 | C.J. Barclay,Mingawalla Homestead Vic | Via Beeac | (Horse paddock),Lic No: 47,Restricted types | Class 'C' 13.10.37,7.4.30,Invalid | A.N.R 1937 | 12.10.1943 | LG 228,-38.200718,143.708887,VIC,Mingawalla Homestead Vic,AN0061,LG 228,P016,1930,1930-1-1
App No: 62,J.B. Hammond | Sec Racecourse Trustees | Wingham | New South Wales | 12.4.30,Wingham N.S.W.,Lic No: 50,From 20/11/35 all single engined aircraft except | under unfavourable N and S wind conditions. | Class 'C' in fav 7-10-37 | Below G (DW) Provisional 2-3-48,6.6.30 | Licensee disbanded,Invalid | A.N.R. 1937 | Cancelled 2/3/48 | LG 244,-31.73,152.28,NSW,Wingham N.S.W.,AN0062,LG 244,P016,1930,1930-1-1
App No: 63,Messrs Bell Bros | Farina | 21.5.30,Farina S.A.,Lic No: 64,All types (provisional). | Class 'C'. 14.10.37 | Below 'G' (DW) Provisional. 2-3-48 | Non classified Gp 3. 2-3-49 | A.G.L. 2-3-51,27.10.30,Invalid | A.N.R. 1937 | LG 254,-30.07,138.28,SA,Farina S.A.,AN0063,LG 254,P016,1930,1930-1-1
App No: 64,P.L. McIver | Culburra | South Australia | 21.3.30,Culburra S.A.,Lic No: 49,All Types,21.5.30,20.5.32 | Lapsed,-35.38,139.56,SA,Culburra S.A.,AN0064,-,P016,1930,1930-1-1
App No: 65,Town Clerk | Mackay | 1.6.30,Mackay Q'ld,Lic No: 69,All types | (provisional 14.1.31) | Full licence 1.3.31 | 'A' Class from Oct 1940 | Government Aerodrome,1.4.31 | 15.10.37,Invalid | A.N.R. 1937 | LG 260 | Taken over by C'wlth on 1.12.41,-21.16,149.1,QLD,Mackay Q'ld,AN0065,LG 260,P017,1931,1931-1-1
App No: 66,Mr Harold Jones | 'Diamond Vale' | Stanthorpe | Queensland | 16.6.30,Stanthorpe Q'ld,Lic No: 57,Restricted Types | 'G' Favourable Winds,9.9.30 | 2.3.48,8.9.32 | Cancelled | LG 247,-28.61,151.9,QLD,Stanthorpe Q'ld,AN0066,LG 247,P017,1930,1930-1-1
App No: 67,New England Airways Ltd | (Agents - L.C. Woobrych & Son) | Townsville | Queensland | City of Townsville,Ross Plains Q'ld | Near Townsville,Lic No: 51,All Types,19.6.30 | 18.9.37,Cancelled | LG 242 | ANR 1937 | 31.3.41,-19.309588,146.801107,QLD,Ross Plains Q'ld,AN0067,LG 242,P017,1930,1930-1-1
App No: 68,Manning River Agricultural & Horticultural Assoc | (Pres G.T. Clarke - Esq) | Taree | New South Wales | 24.6.30,Taree N.S.W.,Lic No: 52,Restricted Types,7.7.30,6.7.32 | Cancelled | LG 243,-32.07,152.54,NSW,Taree N.S.W.,AN0068,LG 243,P017,1930,1930-1-1
App No: 69,Rockhampton Aerial Services Ltd | Secy G.M. Kerr | East St | Rockhampton | Messrs Moody & Fraser | Conner Park Aerodrome | Rockhampton | H.L. Fraser | G.P.O. 206 Rockhampton | Rockhampton City Council | Later taken over by C'wealth,Rockhampton Q'ld | (Connor Park),Lic No: 53,All types | Class 'A' 1.10.37,1.7.30,Invalid | ANR 1937 | 30.6.41 | Govt Drome | Taken over by Rockhampton | City Council as from 1.7.41 | LG 241,-23.39,150.5,QLD,Rockhampton Q'ld,AN0069,LG 241,P018,1930,1930-1-1
App No: 70,Dorrigo Shire Council | Coramba N.S.W. | 15.7.30,Coffs Harbour N.S.W.,Lic No: 70,All Types,14.1.31,23.12.36 | Govt Drome | Now Govt A'drome | LG 262,-30.34,153.07,NSW,Coffs Harbour N.S.W.,AN0070,LG 262,P018,1931,1931-1-1
App No: 71,New Guineas Goldfields Ltd | Warr - Bulolo | New Guinea | 15.7.30,Salamoa N.G.,Lic No: 98,All Types,18.12.31,Administration | LG 307,-7.057477,147.047814,NG,Salamoa N.G.,AN0071,LG 307,P018,1931,1931-1-1
App No: 72,Holbrook Shire Council | Holbrook | New South Wales | 24.7.30,Holbrook N.S.W.,Lic No: 55,All Types,24.7.30,23.12.36 | Govt drome | LG 234,-35.96,147.13,NSW,Holbrook N.S.W.,AN0072,LG 234,P018,1930,1930-1-1
App No: 73,Aero Club of N.S.W. | 16 Barrack St | Sydney | 24.7.30,Hargrave Air Park Warwick Farm N.S.W.,Lic No: 54,All Types | (Provisional 29.7.30 | Full 18.11.30),29.7.30,17.11.32 | Lapsed | LG 273,-33.95,150.91,NSW,Hargrave Air Park Warwick Farm N.S.W.,AN0073,LG 273,P019,1930,1930-1-1
App No: 74,Mt Magnet Road Board | P.O. Mt Magnet | Western Australia | 24.7.30,Mount Magnet W.A.,Lic No: 56,All types | Class F | Dry weather provisional 2.3.48,22.7.30,LG 237 | See page 141,-28.48,118.17,WA,Mount Magnet W.A.,AN0074,LG 237,P019,1930,1930-1-1
App No: 75,William Crouch | Killowen | Cunnamulla | Queensland | 1.8.30,Killowen Q'ld,Lic No: 62,All types | Class 'B' 19.10.37,1.10.30,Invalid | A.N.R. 1937 | LG 248,-27.906603,145.732325,QLD,Killowen Q'ld,AN0075,LG 248,P019,1930,1930-1-1
